Life expectancy ,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Diphtheria , HIV/AIDS,GDP,Population,Schooling
74.1,0.46,43.08717334,91,217,51.8,23,92,93,0.1,495.254866,3486715,12.6
73.8,0.44,320.3239241,9,0,5.8,23,95,95,0.1,3935.183343,34376,12.3
73.4,0.36,270.2401962,8,944,49.8,23,95,95,0.1,3464.6179,33777915,12.3
72.9,0.5,2.548922758,83,2302,48.9,22,88,88,0.1,31.122378,33288437,12
72.3,0.45,220.393699,81,3289,47.9,23,86,86,0.1,2598.9823,3283196,11.7
71.7,0.34,25.0185226,,15374,47,23,87,87,0.1,294.33556,3243514,11.5
71.6,0.36,148.5119843,,5862,46.1,23,86,86,0.1,1774.33673,3199546,11.1
71.4,0.23,147.9860714,,2686,45.3,24,89,89,0.1,1732.857979,31592153,10.9
71.3,0.25,154.4559436,,0,44.4,25,86,86,0.1,1757.17797,3118366,10.7
52.4,,0,64,118,23.3,98,7,64,1.9,3695.793748,2785935,11.4
51.7,8.33,23.965612,64,11699,22.7,101,68,64,2,479.31224,2692466,11.4
51.1,8.1,35.95857279,77,8523,22.1,105,67,77,2.3,484.616884,2599834,11.4
56,8.24,256.1225243,75,4458,21.5,110,75,75,2.6,4598.249988,259615,10.3
51,8.06,239.8913921,72,1449,21,115,73,71,2.5,4299.12889,24218565,9.4
49.6,7.8,191.6537407,77,1190,2.4,121,81,77,2.5,3529.53482,23369131,9
49.1,7.01,212.9229325,61,2807,19.8,127,63,6,2.5,3347.84485,22549547,8.5
48.7,7.07,249.9101958,69,265,19.3,133,65,69,2.6,3868.578883,2175942,8.1
48.2,6.35,184.8213446,73,1014,18.8,138,75,73,2.6,2878.837144,2997687,7.7
47.7,5.84,25.08688824,,765,18.2,143,36,34,2.5,262.415149,2262399,7.2
47.4,5.04,98.19145117,,258,17.7,148,39,38,2.6,1443.991929,19552542,6.8
47.1,3.53,8.8667775,,29,17.2,152,4,4,2.5,141.86844,18865716,6.4
46.8,3.49,35.93349121,,1196,16.8,155,4,4,2.4,779.468356,1823369,5.9
46.5,2.82,24.037942,,11945,16.3,157,37,41,2.3,711.181716,17572649,5.5
45.7,2.58,30.35993647,,9046,15.8,159,41,38,2.1,526.168743,16983266,5.1
45.3,1.85,15.88149254,,2219,15.4,160,3,28,2,555.2969419,1644924,4.6
76.4,,0,99,0,47.7,0,86,99,0.2,13566.9541,,13.9
76.2,8.56,2422.999774,99,0,47,0,96,99,0.2,12888.29667,,13.9
76.1,8.58,1991.430372,99,0,46.4,0,98,99,0.2,12224.86416,,13.9
75.9,8.18,2156.229842,98,0,45.7,0,97,98,0.2,12565.44197,,13.8
75.7,7.84,1810.875316,99,0,45.1,0,99,99,0.1,11929.34991,,14.1
75.6,7.84,1983.956937,98,0,44.4,0,99,98,0.1,12126.87614,,14.1
75.4,7.82,149.3587355,98,0,43.8,0,98,99,0.1,1312.46692,,14.2
75.2,8.27,180.7762695,98,0,43.2,0,99,99,0.1,1473.31923,,14.4
75,8.64,257.9665308,97,0,42.6,0,98,99,0.1,14252.29452,,14.5
74.8,8.93,216.3146941,99,0,42,0,99,99,0.1,12724.39377,,14.7
74.6,8.15,1455.608186,99,0,41.4,0,98,99,0.1,11371.93895,,0
74.4,7.28,22.86295206,97,0,4.8,0,97,97,0.1,1352.8374,,0
74.2,7.16,1158.065259,99,0,4.1,0,99,99,0.1,9739.82556,,0
74,7.21,927.4075855,99,0,39.5,0,93,98,0.1,9386.716452,,0
73.8,7.51,163.7676978,96,0,38.9,0,99,97,0.1,9358.154162,,0
73.6,7.27,1127.74347,,0,38.2,0,96,95,0.1,9875.161736,,0
76.3,,0,94,0,62.8,9,93,94,0.1,13467.1236,43417765,17.3
76.2,7.93,847.3717463,94,1,62.2,9,92,94,0.1,12245.25645,42981515,17.3
76,8.28,1001.796332,94,0,61.6,10,99,94,0.1,12976.63642,42539925,17.3
75.9,8.35,1133.558003,91,2,61,10,99,91,0.1,12969.7712,4296739,17.2
75.7,8.11,1504.329462,91,3,6.4,10,93,91,0.1,12726.9836,41656879,17.1
75.5,8.15,187.610955,94,17,59.8,11,95,94,0.1,1276.265,41223889,16.8
75.6,8.33,1398.042623,94,3,59.2,11,97,94,0.1,8161.36966,479947,16.5
75.4,8.41,1413.73543,9,0,58.6,11,94,93,0.1,8953.359275,4382389,16.3
74.8,8.16,1105.659031,85,0,58,12,92,91,0.1,7193.61764,3997224,16.3
75.2,7.75,961.1774676,84,0,57.5,12,92,91,0.1,5878.76127,3955889,16.1
74.9,7.53,96.16653429,88,0,56.9,12,95,98,0.1,576.883829,39145488,16.3
74.7,7.63,719.3663797,81,0,56.3,12,91,98,0.1,4251.574348,38728696,16.3
74.1,7.62,57.58467352,73,0,55.7,13,95,96,0.1,333.4376,3839379,16.4
74.1,7.81,470.1869145,66,0,55.1,13,94,93,0.1,2579.193168,3788937,16.3
74,7.76,123.0128671,,0,54.6,13,85,83,0.1,717.694674,3747159,15.6
74.1,7.68,1349.025282,,6,54,14,88,83,0.1,7669.273916,3757452,15
74.8,,0,94,33,54.9,1,96,94,0.1,369.654776,291695,12.7
74.6,3.91,295.6087143,93,13,54.1,1,95,93,0.1,3994.712355,29622,12.7
74.4,3.79,279.4290812,95,10,53.3,1,96,95,0.1,3843.591213,289359,12.7
74.4,3.89,274.1526986,95,0,52.6,1,96,95,0.1,3684.8481,2881922,12.7
73.9,4.09,260.9963826,95,0,51.9,1,96,95,0.1,3526.978143,2875581,12.7
73.5,4.23,224.3212014,94,2,51.2,1,96,94,0.1,3218.381655,2877311,12.3
73.3,3.96,201.1855461,93,0,5.7,1,94,93,0.1,2993.832531,2888584,11.9
73.2,3.96,2.8888979,89,0,5.1,1,91,89,0.1,41.26997,29822,12.3
73.5,3.99,44.57219966,85,1,49.7,1,9,88,0.1,3138.8873,293356,11.7
72.9,4.01,244.5352767,78,137,49.2,1,87,87,0.1,2158.299,29585,11.2
73,4.25,20.21822828,91,2281,48.8,1,92,9,0.1,1643.758397,2981259,10.9
73,3.81,97.74087744,91,1783,48.4,1,93,91,0.1,1191.96192,3612,10.9
72.7,3.03,7.341493148,93,4,48.1,1,96,94,0.1,93.1661567,31786,10.8
72.6,2.86,57.17810403,91,40,47.8,1,96,94,0.1,783.261699,333897,10.8
72.6,2.86,53.19373012,69,69,47.4,1,97,94,0.1,694.435119,35655,11.1
72,2.9,32.75626853,55,15,47.1,1,96,93,0.1,622.7427477,369588,11.2
82.8,,0,93,74,66.6,1,93,93,0.1,56554.3876,23789338,20.4
82.7,9.71,10769.36305,91,340,66.1,1,92,92,0.1,62214.6912,2346694,20.4
82.5,9.87,11734.85381,91,158,65.5,1,91,91,0.1,67792.3386,23117353,20.3
82.3,10.03,11714.99858,91,199,65,1,92,92,0.1,67677.63477,22728254,20.1
82,10.3,10986.26527,92,190,64.4,1,92,92,0.1,62245.129,223424,19.8
81.9,10.52,8875.786493,92,70,63.9,1,92,92,0.1,51874.848,223175,19.5
81.7,10.62,7172.275229,94,104,63.4,1,92,92,0.1,42742.99898,216917,19.1
81.3,10.76,8547.292357,94,65,62.9,1,92,92,0.1,49664.6854,212492,19.1
81.3,10.56,872.5986092,94,11,62.5,2,92,92,0.1,4991.98289,28276,19
81.2,10.31,6187.062017,95,0,62,2,92,92,0.1,36118.28381,26979,20.3
81,10.3,579.1331637,95,10,61.5,2,92,92,0.1,3416.71483,23948,20.3
86,9.84,588.568371,95,70,6.9,1,92,92,0.1,3472.37977,21274,20.7
83,9.97,3829.550928,95,91,6.3,1,92,93,0.1,23465.38559,198954,20.6
79.9,9.84,46.3871819,95,32,59.6,2,92,92,0.1,281.81763,196514,20.1
79.9,9.53,3064.301144,94,141,59,2,91,92,0.1,19517.84168,19413,20.5
79.5,10.17,347.18736,,108,58.2,2,9,9,0.1,2169.921,19153,20.4
81.5,,0,93,309,57.6,0,93,93,0.1,43665.947,8633169,15.9
81.4,12.32,8350.193523,98,117,57.1,0,98,98,0.1,51322.63997,8541575,15.9
81.1,11.82,90.58501176,95,0,56.6,0,95,95,0.1,554.71532,8479375,15.7
88,12.26,7878.372355,92,36,56.1,0,92,92,0.1,48333.57273,8429991,15.7
88,12.04,8272.306757,89,68,55.7,0,89,89,0.1,51126.74139,8391643,15.7
84,12.1,7423.228774,86,52,55.2,0,86,86,0.1,46657.629,836344,15.4
82,11.3,8053.557638,83,49,54.7,0,83,83,0.1,47654.18721,8343323,15.3
84,12,8329.731655,83,448,54.2,0,83,83,0.1,51386.37665,8321496,15.1
81,12.5,7453.8644,85,20,53.7,0,85,85,0.1,46586.6525,8295487,15.2
79.8,12.4,69.92899358,83,23,53.2,0,83,83,0.1,443.99361,8268641,15
79.4,12.4,5992.588029,86,9,52.7,0,86,86,0.1,38242.4252,8227829,14.9
79.3,12.1,5316.877456,83,15,52.2,0,83,83,0.1,36693.4262,8171966,14.7
78.8,12.2,504.4308735,83,90,51.7,0,84,84,0.1,3212.9355,8121423,14.7
78.7,12.5,3979.057728,81,0,51.2,0,82,83,0.1,26351.37568,881957,16.1
78.6,12.4,3582.848308,44,0,5.6,0,83,84,0.1,24489.73553,842293,15.5
78.1,13.2,3557.455507,33,0,5.1,0,71,81,0.1,24517.26745,811566,15.4
72.7,,0,96,0,52.5,6,98,96,0.1,55.31382,9649341,12.7
72.5,0.01,306.1824313,94,0,51.5,6,97,94,0.1,7891.299776,953579,12.2
72.2,2.14,275.6514934,93,164,5.6,6,96,93,0.1,7875.756953,941681,11.9
71.9,0.01,285.6103912,88,0,49.7,6,92,89,0.1,7496.335728,9295784,11.8
71.6,1.98,263.142699,84,0,48.8,6,91,87,0.1,7189.691229,917382,11.7
71.1,1.98,246.5686008,8,0,48,6,85,81,0.1,5842.85784,954332,11.7
78,2.1,22.48638351,74,0,47.3,6,84,81,0.1,495.294791,8947243,11.6
73,1.18,206.2616134,68,5,46.6,6,85,81,0.1,5574.6382,87634,11.6
73,1.02,176.0107106,62,0,45.9,7,81,79,0.1,3851.437869,85813,11.6
69.2,0.85,105.6337264,52,222,45.3,7,8,78,0.1,2473.85776,848455,10.7
68.4,0.73,81.28883085,49,1238,44.7,7,79,75,0.1,1578.4239,839185,11.2
68.4,0.62,8.59680496,5,827,44.2,8,78,77,0.1,145.2163,8365,11
67.8,0.55,42.41491183,51,1978,43.6,8,79,77,0.1,883.6439965,82341,10.8
67.8,0.55,39.33253687,5,4353,43.1,9,8,76,0.1,763.73858,817195,10.6
67.5,0.51,4.104190077,,574,42.6,10,77,77,0.1,73.6838434,81112,10.4
66.6,0.65,35.09462644,,210,42.1,11,75,76,0.1,655.974326,8486,10.1
76.1,,0,95,0,64.5,0,95,95,0.1,,,12.6
75.4,9.45,0,96,0,63.8,0,96,96,0.1,,,12.6
74.8,9.42,0,97,0,63.2,0,97,97,0.1,,,12.6
74.9,9.5,0,96,0,62.6,0,99,98,0.2,,,12.6
75,9.34,0,95,0,62,0,97,98,0.1,,,12.6
75,9.19,0,98,0,61.3,0,97,99,0.2,,,12.6
74.6,9.29,0,95,0,6.7,0,97,96,0.1,,,12.6
74.5,10.15,0,9,0,6.1,0,93,93,0.1,,,12.6
74.4,10.75,0,93,0,59.4,0,95,95,0.1,,,12.5
74.2,11.07,0,96,0,58.7,0,94,95,0.1,,,12.4
74.1,10.49,0,93,0,58.1,0,93,93,0.1,,,12.4
73.8,10.1,0,93,0,57.4,0,92,93,0.1,,,12.3
73.2,10.68,0,88,0,56.7,0,93,92,0.1,,,12.2
73.1,10.85,0,89,0,56,0,93,94,0.1,,,12.1
72.9,11.64,0,21,0,55.2,0,98,99,0.2,,,12.1
72.6,12.15,0,,0,54.4,0,91,99,0.1,,,12
76.9,,0,98,0,63.6,0,98,98,0.1,22688.87824,,14.5
76.8,1.57,367.2556742,98,46,62.9,0,98,98,0.1,24983.3792,,14.5
76.7,1.65,3.968695982,99,0,62.2,0,99,99,0.1,251.18329,,14.5
76.5,1.7,2211.215778,99,0,61.5,0,99,99,0.1,23649.36661,,14.5
76.1,1.66,197.7734681,99,0,6.8,0,99,99,0.1,2281.1242,,14.4
76.1,1.93,266.7696122,99,0,6.1,0,99,99,0.1,2722.1389,,14.4
76,1.95,332.9347646,98,3,59.3,0,97,98,0.1,19356.67236,,14.4
75.8,2,231.5478912,97,2,58.5,0,97,97,0.1,2367.56535,,14.4
75.6,2,278.3602806,97,7,57.6,0,97,97,0.1,2977.1153,,14.4
75.5,2.1,170.7374027,98,3,56.8,0,98,98,0.1,1937.99549,,14.2
75.3,2.05,1553.468944,98,4,56.1,0,98,98,0.1,17959.17854,,14
75.2,2.16,1380.228095,98,11,55.6,0,98,98,0.1,15846.47641,,13.9
75,2.16,1214.558167,98,12,55.2,0,97,97,0.1,14221.99259,,13.7
74.9,1.99,106.4303336,98,8,55,0,98,98,0.1,1312.33457,,13.5
74.7,1.95,1150.418063,99,5,54.8,0,99,99,0.1,12868.211,,13.3
74.5,2.15,167.7270642,97,6,54.5,0,97,97,0.1,13636.34668,,13.2
71.8,,0,97,240,18.3,113,97,97,0.1,121.15812,1612886,10.2
71.4,0.01,10.44640334,97,289,17.7,121,97,97,0.1,184.56543,15945279,10
71,0.01,52.82986467,96,237,17,130,96,96,0.1,951.8894535,157571292,10
77,0.01,59.2589257,94,1986,16.4,139,94,94,0.1,856.342857,15572753,9.9
73,0.01,62.34988484,96,5625,15.8,150,96,96,0.1,835.789341,153911916,9.4
69.9,0.01,62.65945432,94,788,15.2,161,94,94,0.1,757.6717572,15214912,8.9
69.5,0.01,53.26400378,97,718,14.6,173,97,97,0.1,681.125368,1545478,8.4
69.1,0.01,42.48865034,96,2660,14,186,96,96,0.1,615.7775411,14885814,8.6
68.6,0.01,46.36536703,95,2924,13.5,201,96,94,0.1,541.651484,147139191,8.6
68.2,0.01,42.3304549,86,6192,13,215,95,94,0.1,494.51466,1453684,8.4
67.8,0.01,38.05462002,45,25934,12.5,231,94,93,0.1,484.155471,14343111,8.2
67.3,0.01,4.11469667,11,9743,12,247,88,99,0.1,46.7579167,14137489,8.1
66.8,0.01,35.48458957,5,4067,11.6,264,9,87,0.1,432.7388972,139191,7.9
66.3,0.01,0.397228764,,3484,11.2,280,83,83,0.1,4.6135745,1366667,7.7
65.8,0.01,3.395069781,,4414,1.8,298,85,85,0.1,42.5981152,1341716,7.5
65.3,0.01,3.69633051,,5098,1.4,316,83,82,0.1,45.63371,131581243,7.3
75.5,,0,97,0,54.5,0,97,97,0.1,15557.8381,,15.3
75.4,8.82,294.9056584,94,0,53.7,0,95,94,0.1,15359.66971,,15.3
75.2,8.74,263.0372838,91,0,53,0,91,91,0.1,15472.7814,,15.3
75.1,8.61,260.0043858,87,0,52.2,0,88,87,0.1,15384.8749,,15.3
74.9,8.51,173.9825629,91,0,51.4,0,91,91,0.1,15534.1574,,15.5
74.7,8.41,154.9630863,86,0,5.7,0,9,86,0.1,1595.91232,,15.8
74.6,8.46,327.1618128,93,0,49.9,0,93,93,0.1,16523.32388,,15.5
74.4,8.95,25.52277112,85,0,49.2,0,85,85,0.1,1657.3228,,15.3
74.2,8.47,1641.30981,93,0,48.4,0,93,93,0.1,16462.48556,,15
74.1,8.39,181.5000856,84,0,47.7,0,85,84,0.1,15646.5591,,14.8
73.9,8.01,1311.440423,92,0,46.9,0,91,92,0.1,14223.86576,,14.6
73.8,7.68,166.0083443,93,0,46.2,0,93,93,0.2,12868.8639,,14.4
73.7,7.65,13.5139917,91,0,45.4,0,9,89,0.4,1228.5447,,14.2
73.5,7.59,133.099491,66,0,44.6,0,86,87,0.8,11675.39395,,14
73.4,7.38,138.1664627,18,0,43.8,0,93,84,0.7,11513.87189,,14
73.3,7.43,1140.615754,,0,43,0,86,93,0.9,11568.1111,,14
72.3,,0,99,2,62.3,0,99,99,0.1,5949.11677,9489616,15.6
72,13.94,1147.1114,97,64,61.7,0,97,97,0.1,8318.429294,9474511,15.7
71.7,14.66,1109.854619,98,16,61.1,1,98,98,0.1,7978.825443,9465997,15.7
71.9,16.35,91.70962117,97,10,6.5,1,98,98,0.1,694.243915,9464495,15.6
72,17.31,846.9113071,98,50,59.9,1,98,98,0.1,6519.71753,9473172,15.5
73,14.44,8.49409518,96,1,59.3,1,99,98,0.1,63.38877,949583,15.5
70,14.09,434.7985025,98,0,58.7,1,98,96,0.1,5176.172649,956765,15.4
70,14.67,501.8056141,98,0,58.2,1,98,97,0.1,6376.183153,9527985,15.1
69.8,14.22,464.077513,91,1,57.7,1,9,95,0.1,4735.484827,956953,14.9
68.9,12.6,364.426052,98,149,57.2,1,97,99,0.1,3848.215966,964924,14.6
68.1,11.01,45.65007798,99,1,56.7,1,98,99,0.1,3126.71767,9663915,14.4
68.2,12.05,42.33443901,99,2,56.2,1,99,99,0.1,2378.33927,973146,14.1
67.7,11.17,23.83578594,56,21,55.8,1,53,5,0.1,1819.525644,9796749,13.9
67.2,12.23,145.4233629,99,14,55.3,1,99,99,0.1,1479.383142,9865548,13.6
67.7,10.74,14.06141699,93,45,54.9,1,99,99,0.1,1244.373185,9928549,13.3
68,12.98,24.24947846,7,21,54.4,1,99,99,0.1,1276.28834,997961,13.1
81.1,,0,98,47,63.7,1,99,99,0.1,4356.875,11274196,16.6
89,12.6,7163.348923,98,70,63.4,1,99,99,0.1,47439.39684,112957,16.3
87,11.77,702.359357,98,39,63,1,99,99,0.1,4651.38647,11182817,16.3
83,10.08,664.4738975,98,109,62.6,1,99,99,0.1,4474.5717,11128246,16.2
83,10.11,713.5297354,97,576,62.3,1,98,98,0.1,4772.77415,1147744,16.1
80,10.22,665.7356115,97,40,61.9,1,98,98,0.1,4438.23741,1895586,15.9
79.8,10.05,671.9376566,97,33,61.6,1,98,98,0.1,4488.5615,1796493,15.8
79.5,10.47,7191.051507,98,98,61.3,1,99,99,0.1,48424.58927,179973,15.8
79.5,10.25,640.3560918,94,64,6.9,1,99,98,0.1,4443.83131,16257,15.8
79.4,10.98,5579.199083,94,15,6.6,1,99,98,0.1,38852.3613,1547958,15.7
78.9,12.27,5068.214488,77,26,6.2,1,97,97,0.1,36967.28292,1478617,15.7
78.8,12.05,5160.508378,64,61,59.8,1,96,95,0.1,35589.71295,1421137,18.8
78.3,11.28,507.306164,64,44,59.4,1,96,95,0.1,3743.95693,1376133,18.6
78,11.29,320.3177664,6,0,59,1,96,95,0.1,2552.3328,1332785,18.8
78,11.01,2943.375396,6,83,58.5,1,96,95,0.1,23121.56635,128657,18.2
77.6,11.21,287.2084529,6,0,58.1,1,96,95,0.1,2327.4591,125125,18
71,,0,94,0,5.9,0,94,94,0.2,4849.997495,359288,12.8
70,6.58,670.0920883,95,0,5.1,0,95,95,0.2,4852.223666,351694,12.8
69.8,6.56,629.2018591,95,0,49.3,0,95,95,0.2,4688.538443,344181,12.9
69.4,6.66,582.8027185,98,0,48.5,0,98,98,0.1,4673.63848,33671,12.5
69.4,6.64,605.6286892,95,0,47.8,0,95,95,0.5,4516.24675,329192,12.4
69.5,6.76,569.9527122,96,0,47,0,96,96,0.2,4344.15177,32168,12.4
69.5,6.85,549.8096097,97,0,46.3,0,98,97,0.3,4258.788611,313929,12.7
69.6,7.22,51.25232422,94,0,45.7,0,94,94,0.1,447.22796,36165,12.8
69.6,7.24,69.63051047,96,0,45,0,97,96,0.6,4324.876427,29847,12.8
69.4,6.48,387.3324928,98,0,44.4,0,98,98,0.6,4187.3783,29747,12.3
69,6.25,365.799896,96,0,43.8,0,96,96,0.8,3933.332215,283277,12.8
68.7,6.2,325.6807462,97,0,43.2,0,97,97,0.8,3831.53819,27689,12.5
68.4,5.67,312.7995946,96,0,42.6,0,95,96,1.5,3679.99523,26913,12.2
68.5,4.99,262.8299189,97,0,42,0,93,89,0.1,3556.561825,26226,11.9
68.2,4.9,251.6586929,96,0,41.4,0,96,96,0.4,3419.275719,254984,11.8
68.3,4.79,219.0239836,76,0,4.8,0,91,91,0.3,3364.423711,247315,11.7
60,,0,82,55,25.7,39,78,82,1,783.94791,1575952,10.7
59.7,0.01,90.12206791,78,786,25.2,39,74,78,1.1,943.686575,1286712,10.7
59.5,0.01,87.4080423,77,637,24.6,39,73,77,1.2,915.2674586,14451,10.3
59.3,0.01,9.80407467,8,288,24.1,39,8,8,1.3,837.9551,972916,10
59.1,1.4,110.2633619,75,426,23.5,39,77,75,1.4,825.9427854,94682,9.8
58.7,1.33,94.25737917,76,392,23,39,77,76,1.4,757.695974,9199259,9.5
58.4,1.16,71.01399249,79,1461,22.5,39,8,79,1.6,793.45243,894476,9.3
57.6,1.28,7.615430126,75,928,22,39,77,75,1.8,82.1513498,8696916,9.1
57.1,1.12,7.49281752,82,341,21.5,39,82,82,2,76.535419,8454791,8.9
56.8,1.19,75.91429496,74,176,21,39,76,74,2,625.8392,8216896,8.7
56.5,1.13,7.106997355,7,210,2.5,39,73,7,2.1,61.799977,7982225,8.5
56.1,1.15,10.73628066,75,262,2.1,39,74,72,2.1,583.493514,7754,8.1
55.8,1.35,8.931827297,73,217,19.7,40,75,73,2.1,519.2922847,752555,7.7
55.6,1.23,40.48815233,15,1588,19.2,40,76,75,2.1,418.6985763,7295394,7.3
55.5,1.29,45.33476384,,5859,18.8,40,77,76,2.1,378.73654,776733,6.6
55.4,1.34,37.38182018,,4244,18.4,40,78,78,2,374.1923942,6865951,6.4
69.8,,0,99,11,24.5,0,98,99,0.5,2613.645177,787386,12.5
69.4,0.01,209.3921344,99,0,23.6,1,98,99,0.5,2522.7968,776448,12.5
69.1,0.01,19.79057439,97,0,22.7,1,97,97,0.6,235.882889,764961,12.6
68.7,0.01,188.7373664,97,1,21.9,1,97,97,0.6,2422.816,752967,12.3
68.3,0.23,289.8524057,95,10,21.1,1,95,95,0.5,2458.45976,7451,11.9
67.9,0.28,244.0391949,91,21,2.3,1,92,91,0.5,2178.921383,727641,11.4
67.4,0.17,27.48907048,93,6,19.5,1,93,93,0.4,177.234497,714458,10.9
67,0.21,302.667579,96,7,18.8,1,96,96,0.4,1795.18137,795,10.5
66.5,0.16,283.806236,95,11,18,1,93,95,0.3,1741.142552,686958,10.1
65.8,0.29,169.2023968,95,2,17.4,1,96,95,0.3,1335.45696,672228,9.6
65,0.73,145.5965445,95,11,16.7,1,95,95,0.3,1247.61392,656639,9.2
64.2,0.96,2.586698228,89,3,16.1,1,9,89,0.3,197.45788,64282,8.8
63.3,0.52,19.15664091,95,0,15.5,1,96,95,0.2,997.7417141,623434,8.4
62.5,0.29,151.9755193,83,27,14.9,1,89,86,0.1,885.6382245,66399,8
61.7,0.14,8.574029812,89,756,14.4,1,88,88,0.1,87.9387673,5896,7.6
62,0.17,93.35872844,98,418,13.9,1,98,92,0.1,765.8632358,573416,7.3
77,,0,99,0,52.6,10,99,99,0.1,,,13.8
74,3.62,0,98,0,51.9,10,99,98,0.1,,,13.8
71,3.78,0,94,0,51.2,10,95,94,0.1,,,13.8
69.8,3.89,0,93,0,5.6,11,93,93,0.1,,,13.8
69.3,3.93,0,95,0,49.9,11,95,95,0.2,,,13.8
68.7,3.95,0,91,0,49.3,12,9,91,0.2,,,13.8
68,3.87,0,93,0,48.6,12,92,93,0.2,,,13.8
67.4,3.77,0,88,0,48,13,87,88,0.2,,,14
66.8,3.47,0,84,0,47.3,14,85,84,0.2,,,14.1
66.2,3.23,0,83,0,46.7,15,82,83,0.2,,,14.3
65.7,2.86,0,85,0,46,16,84,85,0.2,,,14.4
65.1,2.66,0,84,0,45.4,16,84,84,0.2,,,14.6
64.5,2.37,0,8,0,44.7,17,82,88,0.2,,,14.4
63.9,2.26,0,77,0,44,18,76,77,0.1,,,14
63.3,2.2,0,77,0,43.3,19,71,71,0.1,,,13.7
62.6,2.32,0,77,122,42.6,20,74,75,0.1,,,13.3
77.4,,0,82,1677,55.8,0,74,82,0.1,4574.9787,3535961,14.2
77.2,4.03,732.8662491,89,3000,55.3,0,86,86,0.1,5193.94932,35662,14.2
77,4.12,75.61062911,91,0,54.7,0,87,89,0.1,535.86555,364999,14.2
76.8,4.61,693.8226461,92,22,54.2,0,87,92,0.1,4716.673325,36482,13.9
