PassengerId,Survived,Pclass,Sex,Age,AgeGroup,Deck,Number,Side,Embarked
63,0,3,0,4.0,0,-1,-1,-1,3
64,0,1,0,-1.0,-1,-1,-1,-1,1
65,1,3,0,-1.0,-1,-1,-1,-1,1
66,1,2,1,29.0,2,5,33,1,3
67,0,3,0,19.0,1,-1,-1,-1,3
68,1,3,1,17.0,1,-1,-1,-1,3
69,0,3,0,26.0,2,-1,-1,-1,3
70,0,2,0,32.0,2,-1,-1,-1,3
71,0,3,1,16.0,1,-1,-1,-1,3
72,0,2,0,21.0,1,-1,-1,-1,3
73,0,3,0,26.0,2,-1,-1,-1,1
74,1,3,0,32.0,2,-1,-1,-1,3
75,0,3,0,25.0,2,"[5, 6]","[-1, 73]",[1],3
76,0,3,0,-1.0,-1,-1,-1,-1,3
77,0,3,0,-1.0,-1,-1,-1,-1,3
78,1,2,0,0.83,0,-1,-1,-1,3
79,1,3,1,30.0,2,-1,-1,-1,3
80,0,3,0,22.0,1,-1,-1,-1,3
81,1,3,0,29.0,2,-1,-1,-1,3
82,1,3,1,-1.0,-1,-1,-1,-1,2
83,0,1,0,28.0,2,-1,-1,-1,3
84,1,2,1,17.0,1,-1,-1,-1,3
85,1,3,1,33.0,2,-1,-1,-1,3
86,0,3,0,16.0,1,-1,-1,-1,3
87,0,3,0,-1.0,-1,-1,-1,-1,3
88,1,1,1,23.0,1,"[2, 2, 2]","[23, 25, 27]","[1, 1, 1]",3
89,0,3,0,24.0,1,-1,-1,-1,3
90,0,3,0,29.0,2,-1,-1,-1,3
91,0,3,0,20.0,1,-1,-1,-1,3
92,0,1,0,46.0,3,4,31,1,3
93,0,3,0,26.0,2,-1,-1,-1,3
94,0,3,0,59.0,3,-1,-1,-1,3
95,0,3,0,-1.0,-1,-1,-1,-1,3
96,0,1,0,71.0,4,0,5,1,1
97,1,1,0,23.0,1,"[3, 3]","[10, 12]","[2, 2]",1
98,1,2,1,34.0,2,-1,-1,-1,3
99,0,2,0,34.0,2,-1,-1,-1,3
100,0,3,1,28.0,2,-1,-1,-1,3
101,0,3,0,-1.0,-1,-1,-1,-1,3
102,0,1,0,21.0,1,3,26,2,3
103,0,3,0,33.0,2,-1,-1,-1,3
104,0,3,0,37.0,3,-1,-1,-1,3
105,0,3,0,28.0,2,-1,-1,-1,3
106,1,3,1,21.0,1,-1,-1,-1,3
107,1,3,0,-1.0,-1,-1,-1,-1,3
108,0,3,0,38.0,3,-1,-1,-1,3
109,1,3,1,-1.0,-1,-1,-1,-1,2
110,0,1,0,47.0,3,2,110,2,3
111,0,3,1,14.5,1,-1,-1,-1,1
112,0,3,0,22.0,1,-1,-1,-1,3
113,0,3,1,20.0,1,-1,-1,-1,3
114,0,3,1,17.0,1,-1,-1,-1,1
115,0,3,0,21.0,1,-1,-1,-1,3
116,0,3,0,70.5,4,-1,-1,-1,2
117,0,2,0,29.0,2,-1,-1,-1,3
118,0,1,0,24.0,1,"[1, 1]","[58, 60]","[2, 2]",1
119,0,3,1,2.0,0,-1,-1,-1,3
120,0,2,0,21.0,1,-1,-1,-1,3
121,0,3,0,-1.0,-1,-1,-1,-1,3
122,0,2,0,32.5,2,-1,-1,-1,1
123,1,2,1,32.5,2,4,101,1,3
124,0,1,0,54.0,3,3,26,2,3
125,1,3,0,12.0,0,-1,-1,-1,1
126,0,3,0,-1.0,-1,-1,-1,-1,2
127,1,3,0,24.0,1,-1,-1,-1,3
128,1,3,1,-1.0,-1,"[5, 4]","[-1, 69]",[1],1
129,0,3,0,45.0,3,-1,-1,-1,3
130,0,3,0,33.0,2,-1,-1,-1,1
131,0,3,0,20.0,1,-1,-1,-1,3
132,0,3,1,47.0,3,-1,-1,-1,3
133,1,2,1,29.0,2,-1,-1,-1,3
134,0,2,0,25.0,2,-1,-1,-1,3
135,0,2,0,23.0,1,-1,-1,-1,1
136,1,1,1,19.0,1,3,47,1,3
137,0,1,0,37.0,3,2,123,1,3
138,0,3,0,16.0,1,-1,-1,-1,3
139,0,1,0,24.0,1,1,86,2,1
140,0,3,1,-1.0,-1,-1,-1,-1,1
141,1,3,1,22.0,1,-1,-1,-1,3
142,1,3,1,24.0,1,-1,-1,-1,3
143,0,3,0,19.0,1,-1,-1,-1,2
144,0,2,0,18.0,1,-1,-1,-1,3
145,0,2,0,19.0,1,-1,-1,-1,3
146,1,3,0,27.0,2,-1,-1,-1,3
147,0,3,1,9.0,0,-1,-1,-1,3
148,0,2,0,36.5,3,5,2,2,3
149,0,2,0,42.0,3,-1,-1,-1,3
150,0,2,0,51.0,3,-1,-1,-1,3
151,1,1,1,22.0,1,2,2,2,3
152,0,3,0,55.5,3,-1,-1,-1,3
153,0,3,0,40.5,3,-1,-1,-1,3
154,0,3,0,-1.0,-1,-1,-1,-1,3
155,0,1,0,51.0,3,-1,-1,-1,1
156,1,3,1,16.0,1,-1,-1,-1,2
157,0,3,0,30.0,2,-1,-1,-1,3
158,0,3,0,-1.0,-1,-1,-1,-1,3
159,0,3,0,-1.0,-1,-1,-1,-1,3
160,0,3,0,44.0,3,-1,-1,-1,3
161,1,2,1,40.0,3,-1,-1,-1,3
162,0,3,0,26.0,2,-1,-1,-1,3
163,0,3,0,17.0,1,-1,-1,-1,3
164,0,3,0,1.0,0,-1,-1,-1,3
165,1,3,0,9.0,0,-1,-1,-1,3
166,1,1,1,-1.0,-1,4,33,1,3
167,0,3,1,45.0,3,-1,-1,-1,3
168,0,1,0,-1.0,-1,-1,-1,-1,3
169,0,3,0,28.0,2,-1,-1,-1,3
170,0,1,0,61.0,4,1,19,1,3
171,0,3,0,4.0,0,-1,-1,-1,2
172,1,3,1,1.0,0,-1,-1,-1,3
173,0,3,0,21.0,1,-1,-1,-1,3
174,0,1,0,56.0,3,0,7,1,1
175,0,3,0,18.0,1,-1,-1,-1,3
176,0,3,0,-1.0,-1,-1,-1,-1,3
177,0,1,1,50.0,3,2,49,1,1
178,0,2,0,30.0,2,-1,-1,-1,3
179,0,3,0,36.0,3,-1,-1,-1,3
180,0,3,1,-1.0,-1,-1,-1,-1,3
181,0,2,0,-1.0,-1,-1,-1,-1,1
182,0,3,0,9.0,0,-1,-1,-1,3
183,1,2,0,1.0,0,5,4,2,3
184,1,3,1,4.0,0,-1,-1,-1,3
185,0,1,0,-1.0,-1,0,32,2,3
186,1,3,1,-1.0,-1,-1,-1,-1,2
187,1,1,0,45.0,3,-1,-1,-1,3
188,0,3,0,40.0,3,-1,-1,-1,2
189,0,3,0,36.0,3,-1,-1,-1,3
190,1,2,1,32.0,2,-1,-1,-1,3
191,0,2,0,19.0,1,-1,-1,-1,3
192,1,3,1,19.0,1,-1,-1,-1,3
193,1,2,0,3.0,0,5,2,2,3
194,1,1,1,44.0,3,1,4,2,1
195,1,1,1,58.0,3,1,80,2,1
196,0,3,0,-1.0,-1,-1,-1,-1,2
197,0,3,0,42.0,3,-1,-1,-1,3
198,1,3,1,-1.0,-1,-1,-1,-1,2
199,0,2,1,24.0,1,-1,-1,-1,3
200,0,3,0,28.0,2,-1,-1,-1,3
201,0,3,0,-1.0,-1,-1,-1,-1,3
202,0,3,0,34.0,2,-1,-1,-1,3
203,0,3,0,45.5,3,-1,-1,-1,1
204,1,3,0,18.0,1,-1,-1,-1,3
205,0,3,1,2.0,0,6,6,2,3
206,0,3,0,32.0,2,-1,-1,-1,3
207,1,3,0,26.0,2,-1,-1,-1,1
208,1,3,1,16.0,1,-1,-1,-1,2
209,1,1,0,40.0,3,0,31,1,1
210,0,3,0,24.0,1,-1,-1,-1,3
211,1,2,1,35.0,3,-1,-1,-1,3
212,0,3,0,22.0,1,-1,-1,-1,3
213,0,2,0,30.0,2,-1,-1,-1,3
214,0,3,0,-1.0,-1,-1,-1,-1,2
215,1,1,1,31.0,2,3,36,2,1
216,1,3,1,27.0,2,-1,-1,-1,3
217,0,2,0,42.0,3,-1,-1,-1,3
218,1,1,1,32.0,2,3,15,1,1
219,0,2,0,30.0,2,-1,-1,-1,3
220,1,3,0,16.0,1,-1,-1,-1,3
221,0,2,0,27.0,2,-1,-1,-1,3
222,0,3,0,51.0,3,-1,-1,-1,3
223,0,3,0,-1.0,-1,-1,-1,-1,3
224,1,1,0,38.0,3,2,93,1,3
225,0,3,0,22.0,1,-1,-1,-1,3
226,1,2,0,19.0,1,-1,-1,-1,3
227,0,3,0,20.5,1,-1,-1,-1,3
228,0,2,0,18.0,1,-1,-1,-1,3
229,0,3,1,-1.0,-1,-1,-1,-1,3
230,1,1,1,35.0,3,2,83,1,3
231,0,3,0,29.0,2,-1,-1,-1,3
232,0,2,0,59.0,3,-1,-1,-1,3
233,1,3,1,5.0,0,-1,-1,-1,3
234,0,2,0,24.0,1,-1,-1,-1,3
235,0,3,1,-1.0,-1,-1,-1,-1,3
236,0,2,0,44.0,3,-1,-1,-1,3
237,1,2,1,8.0,0,-1,-1,-1,3
238,0,2,0,19.0,1,-1,-1,-1,3
239,0,2,0,33.0,2,-1,-1,-1,3
240,0,3,1,-1.0,-1,-1,-1,-1,1
241,1,3,1,-1.0,-1,-1,-1,-1,2
242,0,2,0,29.0,2,-1,-1,-1,3
243,0,3,0,22.0,1,-1,-1,-1,3
244,0,3,0,30.0,2,-1,-1,-1,1
245,0,1,0,44.0,3,2,78,2,2
246,0,3,1,25.0,2,-1,-1,-1,3
247,1,2,1,24.0,1,-1,-1,-1,3
248,1,1,0,37.0,3,3,35,1,3
249,0,2,0,54.0,3,-1,-1,-1,3
250,0,3,0,-1.0,-1,-1,-1,-1,3
251,0,3,1,29.0,2,6,6,2,3
252,0,1,0,62.0,4,2,87,1,3
253,0,3,0,30.0,2,-1,-1,-1,3
254,0,3,1,41.0,3,-1,-1,-1,3
255,1,3,1,29.0,2,-1,-1,-1,1
256,1,1,1,-1.0,-1,-1,-1,-1,1
257,1,1,1,30.0,2,1,77,1,3
258,1,1,1,35.0,3,-1,-1,-1,1
259,1,2,1,50.0,3,-1,-1,-1,3
260,0,3,0,-1.0,-1,-1,-1,-1,2
261,1,3,0,3.0,0,-1,-1,-1,3
262,0,1,0,52.0,3,4,67,1,3
263,0,1,0,40.0,3,1,94,2,3
264,0,3,1,-1.0,-1,-1,-1,-1,2
265,0,2,0,36.0,3,-1,-1,-1,3
266,0,3,0,16.0,1,-1,-1,-1,3
267,1,3,0,25.0,2,-1,-1,-1,3
268,1,1,1,58.0,3,2,125,1,3
269,1,1,1,35.0,3,2,99,1,3
270,0,1,0,-1.0,-1,-1,-1,-1,3
271,1,3,0,25.0,2,-1,-1,-1,3
272,1,2,1,41.0,3,-1,-1,-1,3
273,0,1,0,37.0,3,2,118,2,1
274,1,3,1,-1.0,-1,-1,-1,-1,2
275,1,1,1,63.0,4,3,7,1,3
276,0,3,1,45.0,3,-1,-1,-1,3
277,0,2,0,-1.0,-1,-1,-1,-1,3
278,0,3,0,7.0,0,-1,-1,-1,2
279,1,3,1,35.0,3,-1,-1,-1,3
280,0,3,0,65.0,4,-1,-1,-1,2
281,0,3,0,28.0,2,-1,-1,-1,3
282,0,3,0,16.0,1,-1,-1,-1,3
283,1,3,0,19.0,1,-1,-1,-1,3
284,0,1,0,-1.0,-1,0,19,1,3
285,0,3,0,33.0,2,-1,-1,-1,1
286,1,3,0,30.0,2,-1,-1,-1,3
287,0,3,0,22.0,1,-1,-1,-1,3
288,1,2,0,42.0,3,-1,-1,-1,3
289,1,3,1,22.0,1,-1,-1,-1,2
290,1,1,1,26.0,2,-1,-1,-1,3
291,1,1,1,19.0,1,1,49,1,1
292,0,2,0,36.0,3,3,-1,-1,1
293,0,3,1,24.0,1,-1,-1,-1,3
294,0,3,0,24.0,1,-1,-1,-1,3
295,0,1,0,-1.0,-1,-1,-1,-1,1
296,0,3,0,23.5,1,-1,-1,-1,1
297,0,1,1,2.0,0,"[2, 2]","[22, 26]","[2, 2]",3
298,1,1,0,-1.0,-1,2,106,2,3
299,1,1,1,50.0,3,"[1, 1]","[58, 60]","[2, 2]",1
300,1,3,1,-1.0,-1,-1,-1,-1,2
301,1,3,0,-1.0,-1,-1,-1,-1,2
302,0,3,0,19.0,1,-1,-1,-1,3
303,1,2,1,-1.0,-1,4,101,1,2
304,0,3,0,-1.0,-1,-1,-1,-1,3
305,1,1,0,0.92,0,"[2, 2]","[22, 26]","[2, 2]",3
306,1,1,1,-1.0,-1,-1,-1,-1,1
307,1,1,1,17.0,1,2,65,1,1
308,0,2,0,30.0,2,-1,-1,-1,1
309,1,1,1,30.0,2,4,36,2,1
310,1,1,1,24.0,1,2,54,2,1
311,1,1,1,18.0,1,"[1, 1, 1, 1]","[57, 59, 63, 66]","[1, 1, 1, 2]",1
312,0,2,1,26.0,2,-1,-1,-1,3
313,0,3,0,28.0,2,-1,-1,-1,3
314,0,2,0,43.0,3,-1,-1,-1,3
315,1,3,1,26.0,2,-1,-1,-1,3
316,1,2,1,24.0,1,-1,-1,-1,3
317,0,2,0,54.0,3,-1,-1,-1,3
318,1,1,1,31.0,2,2,7,1,3
319,1,1,1,40.0,3,4,34,2,1
320,0,3,0,22.0,1,-1,-1,-1,3
321,0,3,0,27.0,2,-1,-1,-1,3
322,1,2,1,30.0,2,-1,-1,-1,2
323,1,2,1,22.0,1,-1,-1,-1,3
324,0,3,0,-1.0,-1,-1,-1,-1,3
325,1,1,1,36.0,3,2,32,2,1
326,0,3,0,61.0,4,-1,-1,-1,3
327,1,2,1,36.0,3,3,-1,-1,3
328,1,3,1,31.0,2,-1,-1,-1,3
329,1,1,1,16.0,1,1,18,2,1
330,1,3,1,-1.0,-1,-1,-1,-1,2
331,0,1,0,45.5,3,2,124,2,3
332,0,1,0,38.0,3,2,91,1,3
333,0,3,0,16.0,1,-1,-1,-1,3
334,1,1,1,-1.0,-1,-1,-1,-1,3
335,0,3,0,-1.0,-1,-1,-1,-1,3
336,0,1,0,29.0,2,2,2,2,3
337,1,1,1,41.0,3,4,40,2,1
338,1,3,0,45.0,3,-1,-1,-1,3
339,0,1,0,45.0,3,7,-1,-1,3
340,1,2,0,2.0,0,5,2,2,3
341,1,1,1,24.0,1,"[2, 2, 2]","[23, 25, 27]","[1, 1, 1]",3
342,0,2,0,28.0,2,-1,-1,-1,3
343,0,2,0,25.0,2,-1,-1,-1,3
344,0,2,0,36.0,3,-1,-1,-1,3
345,1,2,1,24.0,1,5,33,1,3
346,1,2,1,40.0,3,-1,-1,-1,3
347,1,3,1,-1.0,-1,-1,-1,-1,3
348,1,3,0,3.0,0,-1,-1,-1,3
349,0,3,0,42.0,3,-1,-1,-1,3
350,0,3,0,23.0,1,-1,-1,-1,3
351,0,1,0,-1.0,-1,2,128,2,3
352,0,3,0,15.0,1,-1,-1,-1,1
353,0,3,0,25.0,2,-1,-1,-1,3
354,0,3,0,-1.0,-1,-1,-1,-1,1
355,0,3,0,28.0,2,-1,-1,-1,3
356,1,1,1,22.0,1,4,33,1,3
357,0,2,1,38.0,3,-1,-1,-1,3
358,1,3,1,-1.0,-1,-1,-1,-1,2
359,1,3,1,-1.0,-1,-1,-1,-1,2
360,0,3,0,40.0,3,-1,-1,-1,3
361,0,2,0,29.0,2,-1,-1,-1,1
362,0,3,1,45.0,3,-1,-1,-1,1
363,0,3,0,35.0,3,-1,-1,-1,3
364,0,3,0,-1.0,-1,-1,-1,-1,2
365,0,3,0,30.0,2,-1,-1,-1,3
366,1,1,1,60.0,4,3,37,1,1
367,1,3,1,-1.0,-1,-1,-1,-1,1
368,1,3,1,-1.0,-1,-1,-1,-1,2
369,1,1,1,24.0,1,1,35,1,1
370,1,1,0,25.0,2,4,50,2,1
371,0,3,0,18.0,1,-1,-1,-1,3
372,0,3,0,19.0,1,-1,-1,-1,3
373,0,1,0,22.0,1,-1,-1,-1,1
374,0,3,1,3.0,0,-1,-1,-1,3
375,1,1,1,-1.0,-1,-1,-1,-1,1
376,1,3,1,22.0,1,-1,-1,-1,3
377,0,1,0,27.0,2,2,82,2,1
378,0,3,0,20.0,1,-1,-1,-1,1
379,0,3,0,19.0,1,-1,-1,-1,3
380,1,1,1,42.0,3,-1,-1,-1,1
381,1,3,1,1.0,0,-1,-1,-1,1
382,0,3,0,32.0,2,-1,-1,-1,3
383,1,1,1,35.0,3,-1,-1,-1,3
384,0,3,0,-1.0,-1,-1,-1,-1,3
385,0,2,0,18.0,1,-1,-1,-1,3
386,0,3,0,1.0,0,-1,-1,-1,3
387,1,2,1,36.0,3,-1,-1,-1,3
388,0,3,0,-1.0,-1,-1,-1,-1,2
389,1,2,1,17.0,1,-1,-1,-1,1
390,1,1,0,36.0,3,"[1, 1]","[96, 98]","[2, 2]",3
391,1,3,0,21.0,1,-1,-1,-1,3
392,0,3,0,28.0,2,-1,-1,-1,3
393,1,1,1,23.0,1,3,36,2,1
394,1,3,1,24.0,1,6,6,2,3
395,0,3,0,22.0,1,-1,-1,-1,3
396,0,3,1,31.0,2,-1,-1,-1,3
397,0,2,0,46.0,3,-1,-1,-1,3
398,0,2,0,23.0,1,-1,-1,-1,3
399,1,2,1,28.0,2,-1,-1,-1,3
400,1,3,0,39.0,3,-1,-1,-1,3
401,0,3,0,26.0,2,-1,-1,-1,3
402,0,3,1,21.0,1,-1,-1,-1,3
403,0,3,0,28.0,2,-1,-1,-1,3
404,0,3,1,20.0,1,-1,-1,-1,3
405,0,2,0,34.0,2,-1,-1,-1,3
406,0,3,0,51.0,3,-1,-1,-1,3
407,1,2,0,3.0,0,-1,-1,-1,3
408,0,3,0,21.0,1,-1,-1,-1,3
409,0,3,1,-1.0,-1,-1,-1,-1,3
410,0,3,0,-1.0,-1,-1,-1,-1,3
411,0,3,0,-1.0,-1,-1,-1,-1,2
412,1,1,1,33.0,2,2,78,2,2
413,0,2,0,-1.0,-1,-1,-1,-1,3
414,1,3,0,44.0,3,-1,-1,-1,3
415,0,3,1,-1.0,-1,-1,-1,-1,3
416,1,2,1,34.0,2,-1,-1,-1,3
417,1,2,1,18.0,1,-1,-1,-1,3
418,0,2,0,30.0,2,-1,-1,-1,3
419,0,3,1,10.0,0,-1,-1,-1,3
420,0,3,0,-1.0,-1,-1,-1,-1,1
421,0,3,0,21.0,1,-1,-1,-1,2
422,0,3,0,29.0,2,-1,-1,-1,3
423,0,3,1,28.0,2,-1,-1,-1,3
424,0,3,0,18.0,1,-1,-1,-1,3
425,0,3,0,-1.0,-1,-1,-1,-1,3
426,1,2,1,28.0,2,-1,-1,-1,3
427,1,2,1,19.0,1,-1,-1,-1,3
428,0,3,0,-1.0,-1,-1,-1,-1,2
429,1,3,0,32.0,2,4,10,2,3
430,1,1,0,28.0,2,2,52,2,3
431,1,3,1,-1.0,-1,-1,-1,-1,3
432,1,2,1,42.0,3,-1,-1,-1,3
433,0,3,0,17.0,1,-1,-1,-1,3
434,0,1,0,50.0,3,4,44,2,3
435,1,1,1,14.0,1,"[1, 1]","[96, 98]","[2, 2]",3
436,0,3,1,21.0,1,-1,-1,-1,3
437,1,2,1,24.0,1,-1,-1,-1,3
438,0,1,0,64.0,4,"[2, 2, 2]","[23, 25, 27]","[1, 1, 1]",3
439,0,2,0,31.0,2,-1,-1,-1,3
440,1,2,1,45.0,3,-1,-1,-1,3
441,0,3,0,20.0,1,-1,-1,-1,3
442,0,3,0,25.0,2,-1,-1,-1,3
443,1,2,1,28.0,2,-1,-1,-1,3
444,1,3,0,-1.0,-1,-1,-1,-1,3
445,1,1,0,4.0,0,0,34,2,3
446,1,2,1,13.0,0,-1,-1,-1,3
447,1,1,0,34.0,2,-1,-1,-1,3
448,1,3,1,5.0,0,-1,-1,-1,1
449,1,1,0,52.0,3,2,104,2,3
450,0,2,0,36.0,3,-1,-1,-1,3
451,0,3,0,-1.0,-1,-1,-1,-1,3
452,0,1,0,30.0,2,2,111,1,1
453,1,1,0,49.0,3,2,92,2,1
454,0,3,0,-1.0,-1,-1,-1,-1,3
455,1,3,0,29.0,2,-1,-1,-1,1
456,0,1,0,65.0,4,4,38,2,3
457,1,1,1,-1.0,-1,3,21,1,3
458,1,2,1,50.0,3,-1,-1,-1,3
459,0,3,0,-1.0,-1,-1,-1,-1,2
460,1,1,0,48.0,3,4,12,2,3
461,0,3,0,34.0,2,-1,-1,-1,3
462,0,1,0,47.0,3,4,63,1,3
463,0,2,0,48.0,3,-1,-1,-1,3
464,0,3,0,-1.0,-1,-1,-1,-1,3
465,0,3,0,38.0,3,-1,-1,-1,3
466,0,2,0,-1.0,-1,-1,-1,-1,3
467,0,1,0,56.0,3,-1,-1,-1,3
468,0,3,0,-1.0,-1,-1,-1,-1,2
469,1,3,1,0.75,0,-1,-1,-1,1
470,0,3,0,-1.0,-1,-1,-1,-1,3
471,0,3,0,38.0,3,-1,-1,-1,3
472,1,2,1,33.0,2,-1,-1,-1,3
473,1,2,1,23.0,1,3,-1,-1,1
474,0,3,1,22.0,1,-1,-1,-1,3
475,0,1,0,-1.0,-1,0,14,2,3
476,0,2,0,34.0,2,-1,-1,-1,3
477,0,3,0,29.0,2,-1,-1,-1,3
478,0,3,0,22.0,1,-1,-1,-1,3
479,1,3,1,2.0,0,-1,-1,-1,3
480,0,3,0,9.0,0,-1,-1,-1,3
481,0,2,0,-1.0,-1,-1,-1,-1,3
482,0,3,0,50.0,3,-1,-1,-1,3
483,1,3,1,63.0,4,-1,-1,-1,3
484,1,1,0,25.0,2,1,49,1,1
485,0,3,1,-1.0,-1,-1,-1,-1,3
486,1,1,1,35.0,3,2,93,1,3
487,0,1,0,58.0,3,1,37,1,1
488,0,3,0,30.0,2,-1,-1,-1,3
489,1,3,0,9.0,0,-1,-1,-1,3
490,0,3,0,-1.0,-1,-1,-1,-1,3
491,0,3,0,21.0,1,-1,-1,-1,3
492,0,1,0,55.0,3,2,30,2,3
493,0,1,0,71.0,4,-1,-1,-1,1
494,0,3,0,21.0,1,-1,-1,-1,3
495,0,3,0,-1.0,-1,-1,-1,-1,1
496,1,1,1,54.0,3,3,20,2,1
497,0,3,0,-1.0,-1,-1,-1,-1,3
498,0,1,1,25.0,2,"[2, 2]","[22, 26]","[2, 2]",3
499,0,3,0,24.0,1,-1,-1,-1,3
500,0,3,0,17.0,1,-1,-1,-1,3
501,0,3,1,21.0,1,-1,-1,-1,2
502,0,3,1,-1.0,-1,-1,-1,-1,2
503,0,3,1,37.0,3,-1,-1,-1,3
504,1,1,1,16.0,1,1,79,1,3
505,0,1,0,18.0,1,2,65,1,1
506,1,2,1,33.0,2,-1,-1,-1,3
507,1,1,0,-1.0,-1,-1,-1,-1,3
508,0,3,0,28.0,2,-1,-1,-1,3
509,1,3,0,26.0,2,-1,-1,-1,3
510,1,3,0,29.0,2,-1,-1,-1,2
511,0,3,0,-1.0,-1,-1,-1,-1,3
512,1,1,0,36.0,3,4,25,1,3
513,1,1,1,54.0,3,-1,-1,-1,1
514,0,3,0,24.0,1,-1,-1,-1,3
515,0,1,0,47.0,3,3,46,2,3
516,1,2,1,34.0,2,5,33,1,3
517,0,3,0,-1.0,-1,-1,-1,-1,2
518,1,2,1,36.0,3,-1,-1,-1,3
519,0,3,0,32.0,2,-1,-1,-1,3
520,1,1,1,30.0,2,1,73,1,3
521,0,3,0,22.0,1,-1,-1,-1,3
522,0,3,0,-1.0,-1,-1,-1,-1,1
523,1,1,1,44.0,3,1,18,2,1
524,0,3,0,-1.0,-1,-1,-1,-1,1
525,0,3,0,40.5,3,-1,-1,-1,2
526,1,2,1,50.0,3,-1,-1,-1,3
527,0,1,0,-1.0,-1,2,95,1,3
528,0,3,0,39.0,3,-1,-1,-1,3
529,0,2,0,23.0,1,-1,-1,-1,3
530,1,2,1,2.0,0,-1,-1,-1,3
531,0,3,0,-1.0,-1,-1,-1,-1,1
532,0,3,0,17.0,1,-1,-1,-1,1
533,1,3,1,-1.0,-1,-1,-1,-1,1
534,0,3,1,30.0,2,-1,-1,-1,3
535,1,2,1,7.0,0,-1,-1,-1,3
536,0,1,0,45.0,3,1,38,2,3
537,1,1,1,30.0,2,-1,-1,-1,1
538,0,3,0,-1.0,-1,-1,-1,-1,3
539,1,1,1,22.0,1,1,39,1,1
540,1,1,1,36.0,3,1,22,2,3
541,0,3,1,9.0,0,-1,-1,-1,3
542,0,3,1,11.0,0,-1,-1,-1,3
543,1,2,0,32.0,2,-1,-1,-1,3
544,0,1,0,50.0,3,2,86,2,1
545,0,1,0,64.0,4,-1,-1,-1,3
546,1,2,1,19.0,1,-1,-1,-1,3
547,1,2,0,-1.0,-1,-1,-1,-1,1
548,0,3,0,33.0,2,-1,-1,-1,3
549,1,2,0,8.0,0,-1,-1,-1,3
